Date,Month,Year,month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,Neighborhood
2021-06,06,2021,202106,98108,"seattle, wa",,675000,0,0.0112,19,0,-0.4242,24,-0.172413793,-0.225806452,32,0.1429,0.3333,0,,,0,,-1,30,0.0714,0.0345,432.2912491,-0.0273,0.1458,1568,0.0182,-0.0517,755182.5694,0.0338,0.0901,49,0.0426,-0.2097,1.578947368,0.1053,0.7002,Ballard
2021-06,06,2021,202106,98117,"seattle, wa",,849975,0.0625,0.076,37,0.1212,-0.1778,18,-0.25,-0.419354839,68,-0.1053,0.1333,0,-1,,4,0,-0.6667,89,-0.0918,0.6182,533.1481481,0.0636,0.0899,1638,-0.0477,-0.0613,962429.775,0.0683,0.0366,126,-0.0382,0.26,2.405405405,-0.5643,1.1832,Alki Beach
2021-06,06,2021,202106,98106,"seattle, wa",,600000,-0.0323,9.00E-04,27,0.2857,-0.5091,23.5,0.305555556,-0.43373494,44,0.2222,0,0,,,12,0,0,56,0.1915,0.4,436.937004,0.0248,0.1583,1219,-0.1752,-0.2079,599948.5929,-0.0445,-0.0805,83,0.2206,-0.1263,2.074074074,-0.164,1.3468,Laurelhurst
2021-06,06,2021,202106,98115,"seattle, wa",,849500,-6.00E-04,0.1403,59,0.475,0,18,-0.217391304,-0.454545455,104,0.3,0.7333,0,,,16,1,0,101,0.2785,0.8036,524.8693931,0.0165,0.0725,1533,-0.0913,-0.0478,915618.5649,-0.0478,0.0135,160,0.3445,0.3913,1.711864407,-0.2631,0.7627,Madrona
2021-06,06,2021,202106,98136,"seattle, wa",,705000,0.0383,0.0218,19,0,-0.62,25,-0.193548387,0.111111111,36,-0.1,-0.3077,0,,,4,,-0.6667,43,-0.0444,0.7917,480.0582513,-0.0477,0.0923,1315,-0.0804,-0.2006,981940.1229,0.2538,0.1632,62,-0.0313,-0.1622,2.263157895,-0.1053,1.7832,Northgate
2021-05,05,2021,202105,98136,"seattle, wa",,679000,-0.0293,-0.0014,19,0.1875,-0.4571,31,0.087719298,0.409090909,40,0.6667,0.1111,0,,,0,,-1,45,-0.0217,1.5,504.1284404,0.0227,0.153,1430,-0.0435,-0.1488,783184.4828,-0.2356,-0.0754,64,0.0323,0.2075,2.368421053,-0.5066,1.8541,Northgate
2021-05,05,2021,202105,98106,"seattle, wa",,620000,0.0509,0.0598,21,0.3125,-0.5714,18,-0.181818182,-0.64,36,0.2857,0.5,0,,,12,,0,47,-0.0208,0.88,426.3803681,0.1077,0.148,1478,-0.0669,-0.0264,627880.9048,0.0333,-0.0181,68,0.0625,-0.0811,2.238095238,-0.7619,1.7279,Laurelhurst
2021-05,05,2021,202105,98107,"seattle, wa",,825000,0.0749,0.1104,30,-0.1176,-0.2105,32,0.306122449,-0.058823529,40,0,0,0,-1,,8,0,0,59,-0.0328,0.3721,568.8622754,-0.0403,0.0169,1480,0.0732,0.0386,860040.2439,0.078,0.1031,89,-0.0632,0.0988,1.966666667,0.1725,0.8351,Ballard
2021-05,05,2021,202105,98126,"seattle, wa",,664950,0.0513,0.0076,37,0.0882,-0.075,29,-0.064516129,0.074074074,56,0.2727,0.5556,0,,,12,2,-0.4,55,0.0185,0.9643,429.2168675,-0.0314,0.0194,1390,-0.028,-0.0733,805366.3043,0.0282,0.112,92,0.0455,0.3529,1.486486486,-0.1017,0.7865,Northgate
2021-05,05,2021,202105,98155,"seattle, wa",*,875000,0.0613,,27,-0.0357,-0.2703,33,0.346938776,0.434782609,36,0.125,0,0,,,0,-1,-1,59,0.4048,0.7879,416.6666667,-0.1066,0.1111,1627,0.0429,0.0504,1052744.359,0.0151,0.522,86,0.2286,0.2286,2.185185185,0.6852,1.2933,Mount Baker
2021-05,05,2021,202105,98119,"seattle, wa",,995000,0.532,0.1117,42,0.4483,-0.0455,22,-0.083333333,-0.5,48,0.3333,0.3333,0,,,4,-0.5,0,44,0.1892,0.6923,591.9603524,0.0029,0.0603,1530,0.4154,-0.1094,1358858.296,-0.0375,0.1075,86,0.303,0.2286,1.047619048,-0.2282,0.4567,Columbia City
2021-05,05,2021,202105,98121,"seattle, wa",,615000,0.0124,-0.18,59,-0.169,-0.1324,52,-0.212121212,-0.054545455,20,-0.1667,-0.2857,0,,,12,-0.25,-0.4,68,0,0.5455,738.9162562,-0.0199,-0.0724,886,0.0326,-0.1193,1015342.7,0.004,-0.1275,127,-0.0863,0.1339,1.152542373,0.1948,0.5055,Belltown
2021-05,05,2021,202105,98122,"seattle, wa",,669950,-0.0075,-0.0759,72,0.0435,0.3091,30,0.25,-0.333333333,72,0.125,1.25,0,,,20,0.25,0.25,86,0.1467,2.0714,612.5975474,-8.00E-04,0.0511,1102,0.0055,-0.1897,905523.2747,0.2493,-0.16,158,0.0972,0.9036,1.194444444,0.1075,0.6854,Belltown
2021-05,05,2021,202105,98125,"seattle, wa",,772880,-0.0321,0.171,24,-0.1111,-0.2258,33,1.2,-0.175,48,-0.0769,0.5,0,,,0,,-1,50,0.0638,0.8519,430.0714286,-0.0193,0.023,1943,0.056,0.2455,896648.8485,-0.1049,0.0963,74,0,0.2759,2.083333333,0.3426,1.2124,Northgate
2021-05,05,2021,202105,98144,"seattle, wa",,715000,0.0106,0.0229,46,0.0455,-0.2333,35,0.09375,0.060606061,48,0.3333,0.2,0,,,8,1,-0.6,59,0.1569,0.7353,531.152513,0.0349,6.00E-04,1361,-0.0152,-0.0279,1037249.1,-0.0757,0.0562,105,0.1053,0.117,1.282608696,0.1235,0.7159,Mount Baker
2021-05,05,2021,202105,98117,"seattle, wa",,799950,-0.0154,-0.0588,33,0.0645,-0.2143,24,0.92,-0.111111111,76,0.1875,0.9,4,,,4,0,-0.6667,98,0.2099,1.2273,501.2552301,-0.012,0.01,1720,0.0424,-0.0851,900936.6458,0.0581,-0.0887,131,0.1696,0.5233,2.96969697,0.3568,1.9221,Alki Beach
2021-05,05,2021,202105,98168,"seattle, wa",,480000,0.0159,0.0107,18,0.0588,-0.4,27,0.5,-0.035714286,24,-0.3333,-0.1429,0,,,8,,0,42,0.05,0.68,303.8674033,0.0838,0.1589,1510,-0.0033,-0.0679,518835.1613,0.0556,0.111,60,0.0526,0.0909,2.333333333,-0.0196,1.5,Mount Baker
2021-05,05,2021,202105,98116,"seattle, wa",,880000,-0.0084,0.1001,45,0.1842,-0.1,28,-0.01754386,-0.096774194,56,0.1667,0.75,0,,,8,0,-0.6,64,0.1429,2.3684,575.3604194,-0.0064,0.2347,1663,-0.1584,-0.0101,1115589.964,-0.0854,0.2166,109,0.1596,0.5797,1.422222222,-0.0515,1.0422,Alki Beach
2021-05,05,2021,202105,98105,"seattle, wa",,900000,0.0221,-0.0526,31,0.1923,-0.225,24,0.090909091,-0.4,48,0.7143,0.7143,0,,,8,1,-0.3333,44,0.2222,1,555.7377049,0.0245,0.0898,1846,0.0256,-0.1722,2126974.468,-0.1189,0.346,75,0.2097,0.2097,1.419354839,0.0347,0.8694,Laurelhurst
2021-05,05,2021,202105,98146,"seattle, wa",,650000,0.0015,0.0833,24,0.3333,-0.4783,22,0.128205128,-0.607142857,44,0.375,1.75,0,,,0,,-1,42,0.2727,0.8261,358.6118252,-0.0869,0.075,2040,0.0303,0.1087,744076.2,-0.1708,0.0247,66,0.2941,-0.0435,1.75,-0.0833,1.25,Mount Baker
2021-05,05,2021,202105,98102,"seattle, wa",,635000,0.1063,-0.1962,86,-0.0652,0.2836,42,0.473684211,0.05,48,-0.2,0.3333,0,,,32,0,1,82,0.2424,2.5652,659.7938144,-0.0162,0.037,943,0.0613,-0.1728,931240.0808,0.0517,-0.1666,168,0.0633,0.8667,0.953488372,0.2361,0.6102,Capital Hill
2021-05,05,2021,202105,98178,"seattle, wa",,608500,0.024,0.0331,16,1.6667,-0.5897,13,0.857142857,-0.675,36,1.25,0.5,0,,,0,,-1,33,-0.1081,0.1379,341.6,-0.0134,0.1983,1750,-0.0566,-0.1898,633637.9524,0.0048,0.023,49,0.1395,-0.2794,2.0625,-4.1042,1.3189,Mount Baker
2021-05,05,2021,202105,98133,"seattle, wa",,599950,-0.1019,1.00E-04,29,-0.0938,-0.5538,28,0.866666667,-0.066666667,56,0.0769,-0.0667,0,,-1,4,0,-0.75,69,0.1695,0.6429,422.8723404,-0.0489,0.0955,1358,-0.0569,0.0127,636346.8462,-0.1175,0.0989,98,0.0769,-0.0841,2.379310345,0.5356,1.7332,Northgate
2021-05,05,2021,202105,98108,"seattle, wa",,675000,0.0385,0.0228,19,0.4615,-0.4722,29,0.115384615,-0.147058824,28,0.75,0.75,0,,,0,-1,-1,28,-0.3,0,444.4058642,-0.0197,0.0539,1540,0.0694,0.0125,730467.7241,0.0962,0.1044,47,-0.1132,-0.2656,1.473684211,-1.6032,0.6959,Ballard
2021-05,05,2021,202105,98118,"seattle, wa",,698800,0.0172,0.1647,49,-0.0577,-0.2899,37,0.213114754,-0.051282051,56,0.1667,0.1667,0,,,12,,0.5,76,-0.0256,1,413.3858268,0.026,0.0642,1700,0.0539,0.0429,885581.75,0.0564,0.1035,125,-0.0385,0.1682,1.551020408,0.051,1.0003,Columbia City
2021-05,05,2021,202105,98198,"seattle, wa",*,530000,-0.094,0.191,21,-0.0455,,29,0.035714286,-0.275,40,-0.0909,0,0,,,0,,-1,69,0.3529,0.725,311.1305872,0.0172,0.1004,1770,-0.1083,-0.0178,565320.5806,-0.0956,0.0978,90,0.2329,-0.011,3.285714286,0.9675,2.5014,Mount Baker
2021-05,05,2021,202105,98199,"seattle, wa",,1250000,0.1558,0.046,24,0.2,-0.4,25,0.19047619,-0.107142857,40,0.4286,0.25,0,,,4,,-0.5,49,0.1136,0.6897,549.132659,0.0256,0.0819,2060,0.0743,-0.2509,1536452.5,0.0916,0.0789,73,0.1406,0.058,2.041666667,-0.1583,1.3167,Magnolia
2021-05,05,2021,202105,98115,"seattle, wa",,850000,-0.0428,0.104,40,0.0256,-0.2727,23,0.533333333,-0.206896552,80,0.1111,0.25,0,,,8,1,-0.5,79,0.1127,0.5192,516.3265306,0.0075,0.0385,1687,0.0287,-0.0469,961617.8214,-0.0098,-0.0016,119,0.0818,0.1121,1.975,0.1545,1.0295,Madrona
2021-05,05,2021,202105,98101,"seattle, wa",,709900,0.0676,-0.0262,56,-0.0175,0.0566,64,0.153153153,0.72972973,12,-0.5,-0.5,0,,,8,0,0,19,-0.0952,-0.2083,949.3108729,0.0335,-0.1015,723,0,-0.0754,1306504.585,0.1051,0.1222,75,-0.0385,-0.026,0.339285714,-0.0291,-0.1135,Downtown
2021-05,05,2021,202105,98104,"seattle, wa",,799950,-0.0348,0.1173,51,-0.0727,0.9615,58,0.195876289,-0.436893204,12,-0.4,2,0,,,4,0,0,22,0.1579,0.5714,899.4742991,-0.0153,0.063,972,-0.0221,0.2015,1466104.123,-0.0071,-0.1833,73,-0.0135,0.825,0.431372549,0.0859,-0.1071,Pioneer Square
2021-05,05,2021,202105,98103,"seattle, wa",,735000,0.0825,0.0501,62,0.069,-0.253,33,0.375,-0.057142857,88,0.1579,0.1579,0,,,16,0,-0.3333,93,0.0333,0.4531,559.8599767,0.0036,0.049,1295,0.2013,0.0477,826796.9481,0.1644,0.0902,155,0.0473,0.0544,1.5,-0.0517,0.7289,Greenlake
